Strain name	Phylogroup	MLST	Tissue source	Isolation time (Year)	Province in china
A1	A	10	lung	2011	Hubei
A10	F	457	lung	2011	Tianjin
A100	A	542	lung	2014	Hubei
A101	B1	410	trachea	2012	Shanghai
A102	B1	58	spleen	2012	Hubei
A103	B1	101	-	-	-
A104	B1	88	lung	2013	Hubei
A105	B1	23	lung	2014	Sichuan
A106	A	206	lung	2013	Fujian
A107	B1	88	trachea	2012	Jiangsu
A108	B1	88	lung	2012	Hubei
A109	B1	23	joint	2014	Sichuan
A11	B1	88	lung	2011	Zhejiang
A110	F	457	lung	2014	Hubei
A111	B1	410	lung	2014	Hubei
A112	G	117	lung	2012	Guangdong
A113	B2	131	lung	2013	Anhui
A114	B1	156	lung	2012	Zhejiang
A115	B1	101	lung	2013	Guangdong
A116	B1	1148	lung	2014	Guangdong
A117	B1	88	joint	2014	Jiangxi
A118	A	617	lung	2012	Jiangsu
A119	B1	29	lung	2014	Henan
A12	A	167	lung	2011	Henan
A120	B1	88	lung	2012	Henan
A121	F	457	lung	2012	Zhejiang
A122	B1	410	lung	2014	Hubei
A123	B1	410	lung	2014	Jiangxi
A124	A	167	lung	2012	Henan
A125	A	5871	lung	2012	Hubei
A126	B1	88	lung	2013	Henan
A127	B1	156	lung	2012	Hubei
A128	A	100	lung	2014	Shandong
A129	B1	898	lung	2012	Hubei
A13	B1	23	lung	2011	Hubei
A130	A	10	lung	2013	Hubei
A131	B1	410	lung	2014	Henan
A132	F	354	lung	2013	Hunan
A133	B1	101	brain	2013	Zhejiang
A134	B1	88	lung	2013	Fujian
A135	B1	23	lung	2012	Zhejiang
A136	B1	410	lung	2012	Henan
A137	A	46	lung	2012	Hubei
A138	F	648	lung	2012	Hubei
A139	B1	58	lung	2012	Guangdong
A14	G	117	trachea	2011	Hubei
A140	B1	410	lung	2012	Hubei
A141	E	1266	lung	2012	Hunan
A142	B1	603	lung	2013	Hunan
A143	A	-	 liver	2013	Hunan
A144	B1	156	lung	2012	Henan
A145	B1	156	lung	2013	Jiangsu
A146	B1	1196	lung	2012	Jiangsu
A147	B1	410	lung	2013	Hubei
A148	B1	156	lung	2013	Hubei
A149	B1	162	 liver	2013	Hubei
A15	B1	58	lung	2011	Hunan
A150	A	10	-	-	-
A151	B1	58	lung	2014	Henan
A152	B1	101	lung	2013	Hubei
A153	B1	410	lung	2013	Fujian
A154	B1	88	 liver	2012	Hubei
A155	A	93	Fluid	2014	Hubei
A156	B1	101	lung	2013	Anhui
A157	B1	410	lung	2014	Henan
A158	B1	156	lung	2014	Hubei
A159	B1	88	-	-	
A16	B1	602	lung	2011	Hunan
A160	B1	898	-	-	
A161	B1	410	lung	2013	Fujian
A162	A	7449	lung	2013	Hubei
A163	B1	8932	lung	2013	Hubei
A164	B1	101	lung	2013	Zhejiang
A165	B1	88	lung	2013	Shandong
A166	B1	156	lung	2013	Fujian
A167	B1	101	lung	2013	Fujian
A168	B1	1642	lung	2014	Hubei
A169	B1	410	joint	2013	Hubei
A17	B1	410	lung	2011	Anhui
A170	B1	20	lung	2012	Jiangxi
A171	A	167	lung	2012	Hebei
A172	B1	162	Gallbladder	2012	Hubei
A173	G	117	lung	2014	Hubei
A174	B1	-	lung	2013	Hubei
A175	B1	-	 liver	2013	Hubei
A176	A	48	lung	2013	Hubei
A177	B1	410	 kidney	2012	Hubei
A178	B1	410	lung	2012	Hubei
A179	B1	101	lung	2012	Hubei
A18	A	10	trachea	2011	Henan
A180	A	10	lung	2014	Hubei
A181	D	405	lung	2014	Shandong
A183	B1	410	lung	2012	Henan
A184	B1	410	lung	2012	Hubei
A185	G	117	lung	2013	Hubei
A186	B1	88	lung	2014	Hebei
