Iso,Aminoglycosides,Beta-lactams,Chloramphenicol,Quinolones,trimethoprim,Sulfamethoxazole,Tetracycline
A1,1,1,1,1,1,1,1
A10,0,1,1,1,1,1,1
A100,1,1,1,0,1,1,1
A101,0,1,1,1,1,1,1
A102,0,1,1,0,1,1,1
A104,1,1,1,0,1,1,1
A105,0,0,0,0,0,0,1
A106,1,1,1,1,1,1,1
A107,1,1,1,1,1,1,1
A108,0,1,0,0,1,1,1
A109,0,0,0,0,0,0,1
A11,0,1,0,1,1,1,1
A110,0,1,0,0,1,1,1
A111,0,1,1,1,1,1,1
A112,1,1,1,0,1,1,1
A113,0,1,0,0,1,1,1
A114,0,1,1,0,1,1,1
A115,0,1,1,1,0,0,1
A116,0,1,1,1,1,1,1
A117,0,1,0,1,1,1,1
A118,1,1,0,1,1,1,1
A119,1,1,1,1,1,1,1
A12,0,1,1,1,1,1,1
A120,1,1,1,1,1,1,1
A121,1,1,0,1,1,1,1
A122,1,1,1,1,1,1,1
A123,1,1,1,1,1,1,1
A124,1,1,1,1,1,1,1
A125,0,1,0,0,1,1,1
A126,1,1,1,1,1,1,1
A127,1,1,1,1,1,1,1
A128,1,1,1,0,1,1,1
A129,0,1,1,1,1,1,1
A13,1,1,1,1,1,1,1
A130,1,1,1,1,1,1,1
A131,1,1,1,1,1,1,1
A132,1,1,1,1,1,1,1
A133,1,1,1,1,1,1,1
A134,0,1,1,0,1,1,1
A135,0,0,1,0,0,0,1
A136,1,1,1,1,1,1,1
A137,1,1,1,1,1,1,1
A138,1,1,1,1,1,1,1
A139,0,1,1,0,1,1,1
A14,1,1,1,1,1,1,1
A140,1,1,1,1,1,1,1
A141,0,1,1,1,1,1,1
A142,0,1,0,1,1,1,1
A143,1,1,1,1,1,1,1
A144,1,1,1,1,1,1,1
A145,1,1,0,1,0,0,1
A146,0,1,1,0,1,1,1
A147,1,1,1,1,1,1,1
A148,1,1,1,1,1,1,1
A149,1,1,1,1,1,1,1
A15,1,1,1,1,1,1,1
A151,0,1,0,0,1,1,0
A152,0,1,1,0,1,1,1
A153,1,1,1,1,1,1,1
A154,0,1,0,0,1,1,1
A155,1,1,1,1,1,1,1
A156,0,1,1,1,1,1,1
A157,1,1,1,1,1,1,1
A158,1,1,1,1,1,1,1
A16,1,1,1,1,1,1,1
A161,1,1,1,1,1,1,1
A162,1,1,1,1,1,1,1
A163,1,1,1,1,1,1,1
A164,1,1,1,1,1,1,1
A165,1,1,1,1,1,1,1
A166,1,1,1,1,0,0,1
A167,1,1,1,0,1,1,1
A168,0,1,1,1,1,1,1
A169,0,1,1,1,1,1,1
A17,1,1,1,1,1,1,1
A170,1,1,1,1,1,1,1
A171,1,1,1,1,0,0,1
A172,1,1,1,1,1,1,1
A173,0,0,1,1,1,1,1
A174,0,1,0,0,0,0,1
A175,0,1,0,0,1,1,1
A176,0,1,0,0,1,1,1
A177,1,1,1,1,1,1,1
A178,1,1,1,1,1,1,1
A179,0,1,0,0,1,1,1
A18,1,1,1,0,1,1,1
A180,0,0,1,0,0,0,1
A181,1,1,1,1,1,1,1
A183,1,1,1,1,1,1,1
A184,1,1,1,1,1,1,1
A185,1,1,1,1,1,1,1
A186,1,1,1,0,1,1,1
A187,0,0,1,0,1,1,1
A188,1,1,1,1,1,1,1
A189,1,1,1,1,1,1,1
A19,1,1,1,1,1,1,1
A190,0,1,1,1,1,1,1
A191,1,1,1,1,1,1,1
A192,1,1,1,0,1,1,1
A193,1,1,1,0,1,1,1
A194,0,1,1,1,1,1,1
A195,1,1,1,0,1,1,1
A196,0,1,1,1,1,1,1
A197,0,1,1,0,1,1,1
A198,1,1,1,1,1,1,1
A199,1,1,1,0,1,1,1
A2,1,1,1,1,1,1,1
A20,1,1,0,0,1,1,1
A201,0,0,1,0,1,1,1
A202,1,1,1,1,0,0,1
A203,1,1,1,1,1,1,1
A204,1,1,0,0,1,1,1
A205,1,1,1,1,1,1,1
A206,0,1,1,0,1,1,1
A207,0,1,1,0,1,1,1
A208,1,1,1,1,1,1,1
A209,0,0,0,0,0,0,1
A21,1,1,1,1,1,1,1
A210,1,1,1,0,1,1,1
A211,0,1,0,1,1,1,1
A212,1,1,1,1,1,1,1
A213,1,1,1,1,1,1,1
A214,0,1,1,1,1,1,1
A215,1,1,1,1,1,1,1
A216,1,1,1,1,1,1,1
A217,1,1,1,1,1,1,1
A218,0,1,1,0,1,1,1
A219,0,1,1,1,1,1,1
A22,1,1,1,1,1,1,1
A220,0,1,1,0,1,1,1
A221,1,1,1,1,1,1,1
A222,1,1,1,1,1,1,1
A223,1,1,1,1,1,1,1
A224,0,1,1,0,1,1,1
A225,1,1,1,1,1,1,1
A226,1,1,0,1,1,1,1
A227,1,1,1,1,1,1,1
A228,1,1,1,1,1,1,1
A229,1,1,1,1,1,1,1
A23,1,1,1,1,1,1,1
A230,1,1,1,1,0,0,1
A231,0,0,0,0,0,0,1
A232,1,1,1,1,1,1,1
A233,0,1,0,1,1,1,1
A234,1,1,1,1,1,1,1
A235,1,1,1,1,1,1,1
A236,1,1,1,1,1,1,1
A237,1,1,1,1,1,1,0
A238,1,1,1,1,1,1,1
A239,1,1,1,1,1,1,1
A24,0,1,1,1,1,1,1
