,A382_p1,pNDM_MGR194,A376_p2,pLZ135-NDM,A338_p0,pSCKLB684-mcr,A163_p1,pHNHNC02,A237_p1,A68_p0,pHNAH4-1,A251_p0,pMCR-H8,A412_p0,pSH15G1450,A329_p0,pLS61394-MCR
A382_p1,1,0.964,0.04,0.04,0,0,0.004,0.004,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.002,0.002
pNDM_MGR194,0.964,1,0.04,0.04,0,0,0.004,0.004,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.002,0.002
A376_p2,0.04,0.04,1,0.998,0,0,0.186,0.188,0.012,0.012,0.022,0.018,0.018,0.012,0.014,0.01,0.012
pLZ135-NDM,0.04,0.04,0.998,1,0,0,0.186,0.188,0.012,0.012,0.022,0.018,0.018,0.012,0.014,0.01,0.012
A338_p0,0,0,0,0,1,0.664,0,0,0,0,0,0.006,0.006,0.004,0.004,0.004,0.004
pSCKLB684-mcr,0,0,0,0,0.664,1,0,0,0,0,0,0.006,0.006,0.004,0.004,0.004,0.004
A163_p1,0.004,0.004,0.186,0.186,0,0,1,0.992,0.022,0.02,0.022,0.01,0.01,0.008,0.008,0.008,0.008
pHNHNC02,0.004,0.004,0.188,0.188,0,0,0.992,1,0.022,0.02,0.022,0.01,0.01,0.008,0.008,0.008,0.008
A237_p1,0.002,0.002,0.012,0.012,0,0,0.022,0.022,1,0.97,0.792,0.008,0.008,0.004,0.004,0.004,0.004
A68_p0,0.002,0.002,0.012,0.012,0,0,0.02,0.02,0.97,1,0.798,0.006,0.008,0.004,0.004,0.004,0.004
pHNAH4-1,0.004,0.004,0.022,0.022,0,0,0.022,0.022,0.792,0.798,1,0.004,0.004,0.004,0.004,0.004,0.004
A251_p0,0.002,0.002,0.018,0.018,0.006,0.006,0.01,0.01,0.008,0.006,0.004,1,0.952,0.798,0.802,0.708,0.722
pMCR-H8,0.002,0.002,0.018,0.018,0.006,0.006,0.01,0.01,0.008,0.008,0.004,0.952,1,0.776,0.782,0.684,0.698
A412_p0,0.002,0.002,0.012,0.012,0.004,0.004,0.008,0.008,0.004,0.004,0.004,0.798,0.776,1,0.99,0.854,0.866
pSH15G1450,0.002,0.002,0.014,0.014,0.004,0.004,0.008,0.008,0.004,0.004,0.004,0.802,0.782,0.99,1,0.86,0.872
A329_p0,0.002,0.002,0.01,0.01,0.004,0.004,0.008,0.008,0.004,0.004,0.004,0.708,0.684,0.854,0.86,1,0.956
pLS61394-MCR,0.002,0.002,0.012,0.012,0.004,0.004,0.008,0.008,0.004,0.004,0.004,0.722,0.698,0.866,0.872,0.956,1
