PLAS	GENE	CLASS	START	END	STARND	strand
A163_chr-4	IS3	IS	377543	378800	reverse	-1
A163_chr-4	IS10L	IS	381592	382919	forward	1
A163_chr-4	tet(B)	Tetracycline	386997	388202	forward	1
A163_chr-4	IS10R	IS	389409	390737	reverse	-1
A163_chr-4	aln	aln	390837	391837	forward	1
A163_chr-15	IS1R	IS	2039426	2040194	reverse	-1
A163_chr-15	catA1	Phenicol	2040418	2041077	forward	1
A163_chr-15	IS26	IS	2045068	2045887	reverse	-1
A163_chr-15	blaTEM-1B	Beta-lactam	2046000	2046860	forward	1
A163_chr-15	aln	aln	2046960	2047960	forward	1
A163_chr-36	mdf(A)	Macrolide	4278533	4279765	reverse	-1
A163_chr-36	aln	aln	4279865	4280865	forward	1
A163_p0-0	IS26	IS	29190	30009	forward	1
A163_p0-0	aph(3')-Ia	Aminoglycoside	30251	31066	reverse	-1
A163_p0-0	oqxB	Quinolone	33002	36154	reverse	-1
A163_p0-0	oqxA	Quinolone	36178	37353	reverse	-1
A163_p0-0	aln	aln	37453	38453	forward	1
A163_p0-3	IS4321R	IS	105307	106633	reverse	-1
A163_p0-3	IS26	IS	112526	113345	forward	1
A163_p0-3	aac(3)-IIa	Aminoglycoside	115042	115902	reverse	-1
A163_p0-3	IS26	IS	115946	116765	forward	1
A163_p0-3	erm(B)	Macrolide	120176	120939	reverse	-1
A163_p0-3	IS26	IS	121206	122025	forward	1
A163_p0-3	mph(A)	Macrolide	122095	123025	forward	1
A163_p0-3	IS6100	IS	125267	126146	reverse	-1
A163_p0-3	sul1	Sulphonamide	128320	129186	reverse	-1
A163_p0-3	aadA5	Aminoglycoside	129706	130494	reverse	-1
A163_p0-3	dfrA17	Trimethoprim	130625	131098	reverse	-1
A163_p0-3	IS26	IS	131938	132757	forward	1
A163_p0-3	aln	aln	132857	133857	forward	1
A163_p0-4	blaCMY-2	Beta-lactam	146760	147905	reverse	-1
A163_p0-4	ISEc9	IS	148022	149677	reverse	-1
A163_p0-4	aln	aln	149777	150777	forward	1
A163_p0-5	sul2	Sulphonamide	176701	177516	forward	1
A163_p0-5	strA	Aminoglycoside	177577	178380	forward	1
A163_p0-5	strB	Aminoglycoside	178380	179216	forward	1
A163_p0-5	tet(A)	Tetracycline	180477	181751	forward	1
A163_p0-5	floR	Phenicol	182352	183565	reverse	-1
A163_p0-5	ISVsa3	IS	184684	185660	reverse	-1
A163_p0-5	IS26	IS	187939	188758	reverse	-1
A163_p0-5	IS26	IS	189183	190002	forward	1
A163_p0-5	aln	aln	190102	191102	forward	1
A163_p1-0	rmtB	Aminoglycoside	47350	48105	reverse	-1
A163_p1-0	blaTEM-1B	Beta-lactam	48275	49133	reverse	-1
A163_p1-0	IS1294	IS	49825	51511	forward	1
A163_p1-0	IS26	IS	51733	52552	forward	1
A163_p1-0	fosA3	Fosfomycin	53089	53505	reverse	-1
A163_p1-0	IS26	IS	53828	54647	forward	1
A163_p1-0	IS903B	IS	56290	57346	reverse	-1
A163_p1-0	blaCTX-M-65	Beta-lactam	57349	58224	reverse	-1
A163_p1-0	IS26	IS	58672	59491	forward	1
A163_p1-0	aln	aln	59591	60591	forward	1
A163_p2-1	ISVsa3	IS	74191	75168	forward	1
A163_p2-1	IS1294	IS	75459	77145	forward	1
A163_p2-1	sul2	Sulphonamide	77407	78222	reverse	-1
A163_p2-1	ISSbo1	IS	78361	80069	reverse	-1
A163_p2-1	aln	aln	80169	81169	forward	1
A186_chr-12	ISEc9	IS	1346566	1348219	forward	1
A186_chr-12	blaCMY-138	Beta-lactam	1348336	1349477	forward	1
A186_chr-12	IS200C	IS	1350139	1350772	forward	1
A186_chr-12	aln	aln	1350872	1351872	forward	1
A186_chr-21	IS10R	IS	3082836	3084163	forward	1
A186_chr-21	tet(B)	Tetracycline	3085370	3086575	reverse	-1
A186_chr-21	IS10L	IS	3090653	3091981	reverse	-1
A186_chr-21	aln	aln	3092081	3093081	forward	1
A186_chr-33	IS200C	IS	4732530	4733163	reverse	-1
A186_chr-33	blaCMY-2	Beta-lactam	4733826	4734967	reverse	-1
A186_chr-33	ISEc9	IS	4735083	4736737	reverse	-1
A186_chr-33	IS4	IS	4736804	4738228	reverse	-1
A186_chr-33	IS100kyp	IS	4738872	4740825	reverse	-1
A186_chr-33	ISEc8	IS	4741413	4743853	reverse	-1
