#FILE	SEQUENCE	PRODUCT	START	END	STRAND
A104	1077	aac(3)-IIa	2036	2833	-
A104	1179	aac(3)-IIa	1	798	+
A121	702	aac(3)-IIa	422	1282	+
A132	926	aac(3)-IIa	6840	7637	-
A136	514	aac(3)-IIa	345	1205	+
A137	848	aac(3)-IIa	2517	3377	-
A144	566	aac(3)-IIa	1	798	+
A147	513	aac(3)-IIa	345	1205	+
A153	597	aac(3)-IIa	2036	2896	-
A159	1073	aac(3)-IIa	2036	2833	-
A159	1091	aac(3)-IIa	5360	6157	-
A161	469	aac(3)-IIa	345	1205	+
A163	1202	aac(3)-IIa	25618	26478	+
A186	1490	aac(3)-IIa	2516	3376	-
A2	951	aac(3)-IIa	1	798	+
A2	952	aac(3)-IIa	1	794	-
A208	914	aac(3)-IIa	2051	2911	-
A210	820	aac(3)-IIa	2051	2911	-
A232	853	aac(3)-IIa	1761	2621	-
A234	853	aac(3)-IIa	2051	2911	-
A245	754	aac(3)-IIa	683	1543	-
A25	489	aac(3)-IIa	2305	3165	-
A256	470	aac(3)-IIa	502	1362	+
A260	689	aac(3)-IIa	2051	2911	-
A3	702	aac(3)-IIa	864	1724	+
A314	385	aac(3)-IIa	1781	2641	-
A339	889	aac(3)-IIa	422	1282	+
A344	1287	aac(3)-IIa	591	1451	+
A346	668	aac(3)-IIa	1099	1959	-
A35	640	aac(3)-IIa	2517	3377	-
A361	819	aac(3)-IIa	431	1291	+
A363	937	aac(3)-IIa	6840	7637	-
A400	734	aac(3)-IIa	2036	2896	-
A436	716	aac(3)-IIa	422	1282	+
A445	567	aac(3)-IIa	1780	2640	-
A458	1050	aac(3)-IIa	2237	3097	-
A466	544	aac(3)-IIa	502	1362	+
A472	28	aac(3)-IIa	1780	2640	-
A476	962	aac(3)-IIa	683	1543	-
A478	709	aac(3)-IIa	502	1362	+
A498	792	aac(3)-IIa	502	1362	+
A503	1113	aac(3)-IIa	346	1206	+
A71	410	aac(3)-IIa	2027	2887	-
A77	3328	aac(3)-IIa	502	1362	+
A81	536	aac(3)-IIa	864	1724	+
A87	294	aac(3)-IIa	1782	2642	-
A88	606	aac(3)-IIa	801	1661	+
A91	438	aac(3)-IIa	2027	2887	-
A97	987	aac(3)-IIa	2036	2896	-
A100	637	aac(3)-IId	6807	7667	-
A103	952	aac(3)-IId	2015	2875	-
A106	1251	aac(3)-IId	991	1851	+
A107	845	aac(3)-IId	6921	7781	-
A110	683	aac(3)-IId	818	1678	+
A118	1026	aac(3)-IId	660	1520	+
A12	878	aac(3)-IId	5931	6791	-
A123	631	aac(3)-IId	5785	6645	-
A124	773	aac(3)-IId	561	1421	+
A126	969	aac(3)-IId	6698	7558	-
A127	557	aac(3)-IId	120	980	+
A131	696	aac(3)-IId	404	1264	+
A14	1059	aac(3)-IId	32316	33176	-
A141	640	aac(3)-IId	10009	10869	-
A142	713	aac(3)-IId	1849	2709	-
A143	700	aac(3)-IId	3243	4103	-
A146	726	aac(3)-IId	1160	2020	-
A148	6044	aac(3)-IId	36	896	+
A149	594	aac(3)-IId	1045	1905	+
A150	659	aac(3)-IId	6548	7408	-
A155	817	aac(3)-IId	843	1703	+
A158	661	aac(3)-IId	192497	193357	-
A162	1008	aac(3)-IId	1128	1988	+
A164	682	aac(3)-IId	3089	3949	-
A165	542	aac(3)-IId	1045	1905	+
A166	766	aac(3)-IId	19535	20395	-
A17	675	aac(3)-IId	3088	3948	-
A171	879	aac(3)-IId	3394	4254	-
A172	801	aac(3)-IId	1399	2259	+
A173	1513	aac(3)-IId	3451	4311	-
A178	603	aac(3)-IId	255	1115	+
A18	829	aac(3)-IId	831	1691	+
A181	909	aac(3)-IId	1112	1972	-
A183	369	aac(3)-IId	6528	7388	-
A184	764	aac(3)-IId	1566	2426	+
A185	1324	aac(3)-IId	1108	1968	+
A189	759	aac(3)-IId	3089	3949	-
A19	480	aac(3)-IId	5980	6840	-
A191	729	aac(3)-IId	40860	41720	-
A192	771	aac(3)-IId	13773	14633	-
A193	1354	aac(3)-IId	1045	1905	+
A195	1062	aac(3)-IId	6921	7781	-
A197	1700	aac(3)-IId	1118	1978	+
A198	1263	aac(3)-IId	1128	1988	+
A199	1089	aac(3)-IId	3451	4311	-
A2	935	aac(3)-IId	32312	33109	-
A20	593	aac(3)-IId	5980	6840	-
A202	820	aac(3)-IId	831	1691	+
A203	1655	aac(3)-IId	702	1562	+
A204	791	aac(3)-IId	5911	6771	-
A206	1937	aac(3)-IId	1045	1905	+
A215	1077	aac(3)-IId	1110	1970	+
A217	940	aac(3)-IId	1566	2426	+
A221	640	aac(3)-IId	5931	6791	-
A225	1415	aac(3)-IId	1	798	+
A226	715	aac(3)-IId	5973	6833	-
A228	896	aac(3)-IId	6921	7781	-
A23	455	aac(3)-IId	561	1421	+
A235	1752	aac(3)-IId	1108	1968	+
A236	563	aac(3)-IId	1641	2501	-
A237	1099	aac(3)-IId	200359	201219	-
A238	1290	aac(3)-IId	1108	1968	+
A239	1339	aac(3)-IId	1	798	+
A243	939	aac(3)-IId	1200	2060	-
A244	782	aac(3)-IId	5785	6645	-
A246	1145	aac(3)-IId	6547	7344	-
A255	486	aac(3)-IId	25440	26300	+
A261	870	aac(3)-IId	233110	233970	-
A263	755	aac(3)-IId	5463	6323	-
A265	564	aac(3)-IId	785	1645	+
A266	1265	aac(3)-IId	3088	3948	-
A268	814	aac(3)-IId	831	1691	+
A27	931	aac(3)-IId	1865	2725	+
A271	908	aac(3)-IId	6909	7769	-
A272	635	aac(3)-IId	3089	3949	-
A275	566	aac(3)-IId	10832	11692	-
A276	616	aac(3)-IId	7219	8079	-
A282	884	aac(3)-IId	3216	4076	-
A286	895	aac(3)-IId	10019	10879	-
A288	596	aac(3)-IId	122	982	+
A289	1039	aac(3)-IId	1804	2664	+
A29	989	aac(3)-IId	273	1133	+
A290	77	aac(3)-IId	122	982	+
A291	618	aac(3)-IId	837	1697	-
A292	843	aac(3)-IId	14737	15597	-
A295	101	aac(3)-IId	723	1583	+
A296	704	aac(3)-IId	1045	1905	+
A297	593	aac(3)-IId	120	980	+
A298	936	aac(3)-IId	4773	5633	+
A299	640	aac(3)-IId	1045	1905	+
A30	595	aac(3)-IId	251	1111	+
A301	857	aac(3)-IId	784	1644	-
A304	621	aac(3)-IId	870	1730	+
A305	629	aac(3)-IId	112	972	+
A308	836	aac(3)-IId	6841	7701	-
A311	806	aac(3)-IId	8096	8956	-
A312	590	aac(3)-IId	1045	1905	+
A317	13507	aac(3)-IId	4856	5716	-
A318	13551	aac(3)-IId	1	798	+
A319	1172	aac(3)-IId	10589	11449	-
A321	563	aac(3)-IId	1045	1905	+
A323	737	aac(3)-IId	3088	3948	-
A324	1273	aac(3)-IId	2931	3791	-
A326	798	aac(3)-IId	928	1725	+
A328	1130	aac(3)-IId	4866	5726	-
A33	676	aac(3)-IId	1045	1905	+
A332	1282	aac(3)-IId	1199	2059	+
A333	12	aac(3)-IId	4846	5706	-
A335	868	aac(3)-IId	3285	4145	-
A338	765	aac(3)-IId	1374	2234	+
A34	725	aac(3)-IId	10533	11393	+
A340	1007	aac(3)-IId	2715	3575	-
A345	664	aac(3)-IId	445	1305	+
A347	688	aac(3)-IId	1045	1905	+
A348	580	aac(3)-IId	13216	14076	+
A349	375	aac(3)-IId	101	961	+
A352	865	aac(3)-IId	3322	4182	-
A353	285	aac(3)-IId	702	1562	-
A355	800	aac(3)-IId	8096	8956	-
A358	857	aac(3)-IId	1128	1988	+
A359	743	aac(3)-IId	3089	3949	-
A36	1047	aac(3)-IId	1045	1905	+
A364	599	aac(3)-IId	3243	4103	-
A37	652	aac(3)-IId	120	980	+
A372	151	aac(3)-IId	112	972	+
A373	727	aac(3)-IId	1522	2382	-
A376	704	aac(3)-IId	2966	3826	-
A377	749	aac(3)-IId	101030	101890	-
A378	738	aac(3)-IId	135438	136298	-
A380	564	aac(3)-IId	3394	4254	-
A381	754	aac(3)-IId	2220	3080	-
A382	574	aac(3)-IId	1045	1905	+
A386	647	aac(3)-IId	1865	2725	+
A389	658	aac(3)-IId	372	1232	+
A391	620	aac(3)-IId	991	1851	+
A394	600	aac(3)-IId	1045	1905	+
A395	598	aac(3)-IId	1045	1905	+
A4	687	aac(3)-IId	3088	3948	-
A40	1078	aac(3)-IId	111	971	+
A404	1043	aac(3)-IId	112	972	+
A407	678	aac(3)-IId	122	982	+
A409	968	aac(3)-IId	94618	95478	+
