strain	mlst	group	plasmid	coverage	num	arg	value
A163	lung	B1	A163_p0	0.998322056	1	"strB,dfrA17,erm(B),aadA5,tet(A),strA,aac(3)-IIa,oqxA,sul2,mph(A),aph(3')-Ia,sul1,blaCMY-2,floR,oqxB"	1
A232	lung	B1	A163_p0	0.966778389	0.866666667	"strB,dfrA17,erm(B),aadA5,tet(A),strA,aac(3)-IIa,sul2,mph(A),aph(3')-Ia,sul1,blaCMY-2,floR"	1
A35	trachea	B1	A163_p0	0.926242121	0.866666667	"strB,erm(B),tet(A),strA,aac(3)-IIa,oqxA,sul2,mph(A),aph(3')-Ia,sul1,blaCMY-2,floR,oqxB"	1
A186	lung	B1	A186_p1	0.992604269	1	"aadA5,blaTEM-1B,strB,aac(3)-IIa,strA,sul1,tet(A),mph(A),dfrA17"	1
A137	lung	A	A186_p1	0.979291954	0.888888889	"blaTEM-1B,strB,aac(3)-IIa,strA,sul1,tet(A),mph(A),dfrA17"	1
A476	lung	A	A186_p1	0.960986653	1	"aadA5,blaTEM-1B,strB,aac(3)-IIa,strA,sul1,tet(A),mph(A),dfrA17"	1
A361	lung	B1	A186_p1	0.958215858	1	"aadA5,blaTEM-1B,strB,aac(3)-IIa,strA,sul1,tet(A),mph(A),dfrA17"	1
A478	brain	A	A186_p1	0.957778364	1	"aadA5,blaTEM-1B,strB,aac(3)-IIa,strA,sul1,tet(A),mph(A),dfrA17"	1
A40	lung	G	A237_p0	1	1	"ant(3'')-Ia,aadA2,sul3,blaTEM-1B,strB,aac(3)-IId,strA,dfrA17,aph(3')-Ia,tet(A),cmlA1"	1
A70	lung	G	A237_p0	0.999706007	1	"ant(3'')-Ia,aadA2,sul3,blaTEM-1B,strB,aac(3)-IId,strA,dfrA17,aph(3')-Ia,tet(A),cmlA1"	1
A68	lung	G	A237_p0	0.999347478	1	"ant(3'')-Ia,aadA2,sul3,blaTEM-1B,strB,aac(3)-IId,strA,dfrA17,aph(3')-Ia,tet(A),cmlA1"	1
A237	lung	G	A237_p0	0.99404843	1	"ant(3'')-Ia,aadA2,sul3,blaTEM-1B,strB,aac(3)-IId,strA,dfrA17,aph(3')-Ia,tet(A),cmlA1"	1
A107	trachea	B1	A237_p0	0.922636761	1	"ant(3'')-Ia,aadA2,sul3,blaTEM-1B,strB,aac(3)-IId,strA,dfrA17,aph(3')-Ia,tet(A),cmlA1"	1
